station_name,state,lat,lon,primary_fuel,grid,reporting_year,production_mwh,emissions_tco2e,intensity_tco2e_mwh
Wandoan Solar Farm 1,QLD,-26.135673,149.9011851,Solar,NEM,2023-24,243186.0,1570.0,0.00645596374791312
Albany,WA,-35.0247822,117.883608,Unknown,,,,,
Barron Gorge,QLD,-16.881977,145.6727322,Unknown,,,,,
Bastyan,TAS,-41.73502,145.5315863,Unknown,,,,,
Blowering,NSW,-35.4869444,148.2636111,Unknown,,,,,
Butlers Gorge,TAS,-42.2743439,146.2758378,Unknown,,,,,
Cairn Curran,VIC,-37.0427759,143.9838664,Unknown,,,,,
Catagunya,TAS,-42.4488719,146.5933543,Unknown,,,,,
Cethana,TAS,-41.4765846,146.1616963,Unknown,,,,,
Clover,VIC,-37.85589,145.020236,Unknown,,,,,
Cluny,TAS,-42.5064415,146.6810463,Unknown,,,,,
Denham,WA,-25.9280964,113.5372233,Unknown,,,,,
Devils Gate,TAS,-41.3504391,146.263429,Unknown,,,,,
Farleigh Mill,QLD,-21.0994029,149.1008061,Unknown,,,,,
Fisher,TAS,-40.2169397,148.2391065,Unknown,,,,,
Gordon,TAS,-43.2617003,147.2411439,Unknown,,,,,
Guthega,NSW,-36.3816543,148.3734295,Unknown,,,,,
John Butters,TAS,-42.1548941,145.5345078,Unknown,,,,,
Kareeya,QLD,-17.7686275,145.5739651,Unknown,,,,,
Koombooloomba,QLD,-17.826819,145.5385597,Unknown,,,,,
Lake Echo,TAS,-42.1628393,146.6479132,Unknown,,,,,
Lemonthyme,TAS,-41.603717,146.1389172,Unknown,,,,,
Liapootah,TAS,-42.3762793,146.5100919,Unknown,,,,,
Mackintosh,TAS,-41.69999,145.6454763,Unknown,,,,,
McKay Creek,VIC,-36.8747271,147.2433527,Unknown,,,,,
Meadowbank,TAS,-42.5976023,146.8302653,Unknown,,,,,
Murray 1,NSW,-33.8688057,151.0384485,Unknown,,,,,
Murray 2,NSW,-33.804437,151.081015,Unknown,,,,,
Paloona,TAS,-41.2578267,146.2764337,Unknown,,,,,
Poatina,TAS,-41.7964237,146.9602505,Unknown,,,,,
Racecourse Mill,QLD,-21.1641873,149.1340214,Unknown,,,,,
Reece,TAS,-41.72442,145.1376063,Unknown,,,,,
Repulse,TAS,-42.5077755,146.6469899,Unknown,,,,,
Rowallan,TAS,-41.72951,146.2170563,Unknown,,,,,
Swanbank,QLD,-27.6612741,152.8241225,Unknown,,,,,
Tarraleah,TAS,-42.3009554,146.4497657,Unknown,,,,,
Tods Corner,TAS,-41.9682847,146.7996404,Unknown,,,,,
Trevallyn,TAS,-41.4362794,147.1160493,Unknown,,,,,
Tribute,TAS,-41.814434,145.6518445,Unknown,,,,,
Tumut 1,NSW,-35.3015747,148.2226744,Unknown,,,,,
Tumut 2,NSW,-35.3015747,148.2226744,Unknown,,,,,
Tumut 3,NSW,-35.3015747,148.2226744,Unknown,,,,,
Tungatinah,TAS,-42.2968611,146.4566731,Unknown,,,,,
Wayatinah,TAS,-42.38857,146.49946,Unknown,,,,,
West Kiewa,VIC,-36.8190086,147.1572441,Unknown,,,,,
Wilmot,TAS,-41.3870316,146.1748539,Unknown,,,,,
Windy Hill,QLD,-17.5911646,145.5296049,Unknown,,,,,
Wyangala,NSW,-33.9485,148.9346,Unknown,,,,,
Chichester Dam,NSW,-32.2373028,151.6898139,Unknown,,,,,
Marian Mill,QLD,-21.1441294,148.9381543,Unknown,,,,,
Isis Central Sugar Mill,QLD,-25.1934324,152.2056594,Unknown,,,,,
Tableland Mill,QLD,-17.1199491,145.3450211,Unknown,,,,,
Invicta Mill,QLD,-19.5223217,147.1057025,Unknown,,,,,
Jacks Gully,NSW,-34.0767276,150.7421357,Unknown,,,,,
Kalamia Mill,QLD,-19.5232625,147.4150309,Unknown,,,,,
Inkerman Mill,QLD,-19.6446642,147.4008143,Unknown,,,,,
Plane Creek Mill,QLD,-21.4276474,149.2148137,Unknown,,,,,
Macknade Mill,QLD,-18.5873304,146.2576389,Unknown,,,,,
Dartmouth,VIC,-36.611893,147.6137704,Unknown,,,,,
Eildon Power Station,VIC,-37.2219823,145.9214761,Unknown,,,,,
Thursday Island,QLD,-10.5786459,142.2189206,Unknown,,,,,
Harwood Mill,NSW,-29.4228771,153.2471503,Unknown,,,,,
Burrendong,NSW,-32.7003526,149.1051157,Unknown,,,,,
Copeton,NSW,-29.8782167,150.9252216,Unknown,,,,,
Glenbawn,NSW,-32.04,151.0677778,Unknown,,,,,
Visy Pulp and Paper,NSW,-35.2969641,148.1387178,Unknown,,,,,
Pioneer Mill,QLD,-19.5564291,147.3293446,Unknown,,,,,
Victoria Mill,QLD,-18.650125,146.200494,Unknown,,,,,
Yarrawonga Power Station,VIC,-36.009397,145.9994849,Unknown,,,,,
Proserpine Sugar Mill,QLD,-20.3982009,148.5829134,Unknown,,,,,
Vales Point,NSW,-33.1432212,151.5357176,Unknown,,,,,
Maryvale Mill,VIC,-38.18329,146.4483004,Unknown,,,,,
Stromlo - Hydro - ACT,ACT,-35.3130241,148.992548,Unknown,,,,,
Muja,WA,-33.4165555,116.3474185,Unknown,,,,,
Condong Sugar Mill,NSW,-28.3140727,153.4347099,Unknown,,,,,
Woolnorth Wind Farm,TAS,-40.7469363,144.7495328,Unknown,,,,,
Wyndham Landfill,VIC,-15.5000223,128.1606264,Unknown,,,,,
Mossman Mill,QLD,-16.4583766,145.3786023,Unknown,,,,,
Wivenhoe Hydro,QLD,-20.8136098,142.0919363,Unknown,,,,,
Wilpena Pound,SA,-31.5264564,138.606148,Unknown,,,,,
The Drop,NSW,-35.7759387,145.7533108,Unknown,,,,,
Mawson,TAS,-42.6943,146.59004,Unknown,,,,,
Mulgrave Mill,QLD,-17.0902666,145.7897267,Unknown,,,,,
Tamala Park,WA,-31.7085,115.7243,Unknown,,,,,
Tinaroo Hydro,QLD,-17.1663635,145.5305956,Unknown,,,,,
Lake Bonney Wind Farm Stage 1,SA,-37.7389792,140.3868101,Unknown,,,,,
